ID,Dlq_stat,amounts,obs_date,Dlq_days,Vertical1,Province1
F1,Current,389.628,2014-06-30 12:00:00,NA,Home Improvement,ON
F2,Current,2446.13,2014-06-30 12:00:00,NA,Vehicle,AB
F3,Current,2874.37,2014-06-30 12:00:00,NA,Home Improvement,ON
F4,Current,299.627,2014-06-30 12:00:00,NA,Home Improvement,ON
F5,Current,745.455,2014-06-30 12:00:00,NA,Home Improvement,Other Provinces
F6,Current,292.905,2014-06-30 12:00:00,NA,Home Improvement,ON
F7,Current,1913.26,2014-06-30 12:00:00,NA,Home Improvement,ON
F8,Current,2749.59,2014-06-30 12:00:00,NA,Vehicle,AB
F9,Current,1638.36,2014-06-30 12:00:00,NA,Home Improvement,ON
F10,Current,10432.1,2014-06-30 12:00:00,NA,Vehicle,AB
F11,Current,1765.47,2014-06-30 12:00:00,NA,Vehicle,ON
F12,Current,1061.07,2014-06-30 12:00:00,NA,Vehicle,BC
F13,Current,873.635,2014-06-30 12:00:00,NA,Vehicle,AB
F14,Current,3048.32,2014-06-30 12:00:00,NA,Vehicle,AB
F15,Current,4080.97,2014-06-30 12:00:00,NA,Vehicle,AB
F16,Current,1579.95,2014-06-30 12:00:00,NA,Vehicle,AB
F17,Current,523.787,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F18,Current,498.62,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F19,Current,739.858,2014-06-30 12:00:00,NA,Vehicle,AB
F20,Current,3612.81,2014-06-30 12:00:00,NA,Vehicle,AB
F21,Current,652.737,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F22,Current,2898.34,2014-06-30 12:00:00,NA,Vehicle,AB
F23,Current,1295.19,2014-06-30 12:00:00,NA,Vehicle,BC
F24,Current,862.568,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F25,Current,1066.4,2014-06-30 12:00:00,NA,Vehicle,AB
F26,Current,4795.19,2014-06-30 12:00:00,NA,Vehicle,AB
F27,Current,880.033,2014-06-30 12:00:00,NA,Vehicle,AB
F28,Current,1640.21,2014-06-30 12:00:00,NA,Vehicle,AB
F29,Current,456.258,2014-06-30 12:00:00,NA,Vehicle,BC
F30,Current,315.403,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F31,Current,1848.63,2014-06-30 12:00:00,NA,Vehicle,ON
F32,Current,416.408,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F33,Current,580.49,2014-06-30 12:00:00,NA,Vehicle,BC
F34,Current,561.717,2014-06-30 12:00:00,NA,Vehicle,BC
F35,Current,3020.86,2014-06-30 12:00:00,NA,Vehicle,AB
F36,Current,2929.33,2014-06-30 12:00:00,NA,Vehicle,ON
F37,Current,1033.09,2014-06-30 12:00:00,NA,Vehicle,AB
